id,prompt,answer,category,bug_reason
00066667,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01010001 -> 11011101
00001001 -> 01101101
00010101 -> 01010101
11111111 -> 10000001
10011101 -> 01000101
00111011 -> 00001001
10111101 -> 00000101
00100110 -> 10110011

Now, determine the output for: 00110100",10010111,Bit,
000b53cf,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10001110 -> 00100110
10011001 -> 01000100
01100100 -> 00010001
10000010 -> 00001010
00011011 -> 01001100
00111010 -> 10011100
01101111 -> 00110111
10010110 -> 01011010
00001010 -> 00101100

Now, determine the output for: 11100000",01000011,Bit,
001b24c4,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
11 -> XI
15 -> XV
94 -> XCIV
19 -> XIX
Now, write the number 38 in the Wonderland numeral system.",XXXVIII,Roman,
001c63cb,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wkgqa lsrqaq wneeke -> mouse chases mirror
wkgqa nwrjnvaq nv brmrla -> mouse imagines in palace
srppae oerhq gvoae wkgvprnv -> hatter draws under mountain
psa qaleap hncreo onqlkzaeq -> the secret wizard discovers
psa hnqa xneo earoq -> the wise bird reads
Now, decrypt the following text: hncreo learpaq qaleap",wizard creates secret,Cipher,
00208201,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
10.08 m becomes 6.69
17.83 m becomes 11.83
35.85 m becomes 23.79
17.06 m becomes 11.32
31.54 m becomes 20.93
Now, convert the following measurement: 25.09 m",16.65,Linear,
0031df9c,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00000000 -> 00000000
11001011 -> 11110010
11110010 -> 10111100
01001000 -> 00010010
01101000 -> 00011010
01011101 -> 01010111
10111001 -> 01101110
11011111 -> 11110111
11110101 -> 01111101
01111001 -> 01011110

Now, determine the output for: 11010000",00110100,Bit,
0040ff76,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.37s, distance = 14.92 m
For t = 4.27s, distance = 144.96 m
For t = 3.28s, distance = 85.54 m
For t = 3.67s, distance = 107.09 m
For t = 1.78s, distance = 25.19 m
Now, determine the falling distance for t = 4.41s given d = 0.5*g*t^2.",154.62,Gravity,
00463d04,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.85s, distance = 204.55 m
For t = 3.13s, distance = 85.19 m
For t = 1.7s, distance = 25.13 m
For t = 3.16s, distance = 86.84 m
For t = 3.23s, distance = 90.73 m
Now, determine the falling distance for t = 2.41s given d = 0.5*g*t^2.",50.51,Gravity,
0047365c,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
32.58 m becomes 26.62
10.9 m becomes 8.90
17.86 m becomes 14.59
Now, convert the following measurement: 13.0 m",10.62,Linear,
004ef7c7,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101001 -> 01111101
11010100 -> 11111110
00110011 -> 00000111
00111000 -> 01001111
00101011 -> 11110101
00100010 -> 10101111
10000010 -> 11111010
00001010 -> 10111011

Now, determine the output for: 01010101",11111111,Bit,
