id,prompt,answer,category,bug_reason
00189f6a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ucoov pwgtfyoqg vorq yrjjoe -> queen discovers near valley
pqrsfv pqorzg wvgwpo trgbjo -> dragon dreams inside castle
gbcpovb tqorbog bxo zrswtrj pffq -> student creates the magical door
bxo sfjpov pqrsfv dfjjfig -> the golden dragon follows
nqwvtogg qorpg bxo zegboqwfcg gotqob -> princess reads the mysterious secret
Now, decrypt the following text: trb wzrswvog hffk",cat imagines book,Cipher,unknown_query_chars
00457d26,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`!*[{ = '""[`
\'*'> = ![@
\'-!` = \\
`!*\& = '@'{
Now, determine the result for: [[-!'",@&,Equation,length_mismatch
005ad22a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
hmxad apdhvdq vid ohexahm apwqvhm -> alice creates the magical crystal
zxuhpl zhvaidq xyqxld txmmhed -> wizard watches inside village
nfddy xohexydq xy ehpldy -> queen imagines in garden
osfqd qddq lssp -> mouse sees door
vid amdtdp zxuhpl dgjmspdq -> the clever wizard explores
Now, decrypt the following text: bxye aihqdq ahqvmd",king chases castle,Cipher,unknown_query_chars
00674059,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
xkffmh chmkfmn ewhmnf -> hatter creates forest
hkyydf cxknmn chbnfkj -> rabbit chases crystal
shkawg cxknmn dg owugfkdg -> dragon chases in mountain
Now, decrypt the following text: kjdcm pkfcxmn ugsmh pwgsmhjkgs",alice watches under wonderland,Cipher,unknown_query_chars
00a3fd23,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wfmkg gajifbgk vdkqig -> mouse explores castle
yuelxq rbgdwk eu zdiigh -> knight dreams in valley
jbeuvgkk pdqvxgk qxg vmbefmk sffy -> princess watches the curious book
qxg duveguq dievg bgdrk -> the ancient alice reads
Now, decrypt the following text: petdbr pdqvxgk qxbfmlx iesbdbh",wizard watches through library,Cipher,unknown_query_chars
00c032a8,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
}`]?( = ())
}#<)\ = #?
?(!&& = #@@#
(?!@` = )#))
Now, determine the result for: ))!\)",\^?,Equation,length_mismatch
00d8b3db,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34/44 = 1
41/32 = 9
34|25 = 69
87\64 = 8853
Now, determine the result for: 69/52",17/,Equation,length_mismatch
00efa37c,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
vmelt lyvutu wyt lfmfcaom keccfc -> alice chases the colorful mirror
lvw afobd wyt xfmdtb dffc -> cat found the golden door
wyt uemitc wtvlytc tnjmfctu -> the silver teacher explores
jcebltuu lctvwtu wyt locefou sffp -> princess creates the curious book
pbexyw hvwlytu wyt xfmdtb joggmt -> knight watches the golden puzzle
Now, decrypt the following text: wocwmt hvwlytu wyt kzuwtcefou xvcdtb",turtle watches the mysterious garden,Cipher,unknown_query_chars
012cab1f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`(]&: = %@#:
&{>`% = {{
(""'%: = {@{
:%>&: = :""
`('""@ = %@{
Now, determine the result for: {`'(&",|@{,Equation,length_mismatch
0133bcec,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
%|*""| = %|""|
\(*[^ = \([^
(%+[@ = (%[@
|[*([ = |[([
[^-[( = -^
Now, determine the result for: \(*[#",\([#,Equation,length_mismatch
017a871e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
#]+\# = ""!
#^-{] = ]#
\{*\! = #\^:
Now, determine the result for: #!-""^",\:,Equation,length_mismatch
0184a864,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
mof mzodvd dfrqy -> cat chases story
lrsdv dfsaevd fzv iedv mqydfoc -> mouse studies the wise crystal
fzv aoqx aqourn aqoid -> the dark dragon draws
Now, decrypt the following text: iehoqa qvoad en beccouv",wizard reads in village,Cipher,unknown_query_chars
018c6f61,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
lzddf adda edm -> queen sees key
uqd iztshza udwiqdt sgwvsfda -> the curious teacher imagines
pstc dokbhtda xhtdau -> bird explores forest
udwiqdt dokbhtda fdwt nwbbdm -> teacher explores near valley
Now, decrypt the following text: uqd rsad ctwvhf rwuiqda",the wise dragon watches,Cipher,unknown_query_chars
